,graph_size,n_qubits,max_chain,mean_chain
0,4,20,3,2.2222222222222223
1,4,23,4,2.5555555555555554
2,4,21,3,2.3333333333333335
3,4,22,3,2.4444444444444446
4,4,21,3,2.3333333333333335
5,4,20,3,2.2222222222222223
6,4,21,3,2.3333333333333335
7,4,20,3,2.2222222222222223
8,4,23,6,2.5555555555555554
9,4,21,3,2.3333333333333335
10,5,64,6,4.0
11,5,61,6,3.8125
12,5,67,6,4.1875
13,5,61,5,3.8125
14,5,66,6,4.125
15,5,61,5,3.8125
16,5,58,5,3.625
17,5,66,6,4.125
18,5,59,5,3.6875
19,5,59,5,3.6875
20,6,162,10,6.48
21,6,180,11,7.2
22,6,176,11,7.04
23,6,168,11,6.72
24,6,163,9,6.52
25,6,169,10,6.76
26,6,155,9,6.2
27,6,143,7,5.72
28,6,155,8,6.2
29,6,169,10,6.76
30,7,384,19,10.666666666666666
31,7,391,16,10.86111111111111
32,7,394,19,10.944444444444445
33,7,364,16,10.11111111111111
34,7,401,17,11.13888888888889
35,7,374,18,10.38888888888889
36,7,377,17,10.472222222222221
37,7,358,14,9.944444444444445
38,7,375,15,10.416666666666666
39,7,370,16,10.277777777777779
40,8,704,23,14.36734693877551
41,8,740,26,15.10204081632653
42,8,771,26,15.73469387755102
43,8,725,21,14.795918367346939
44,8,774,28,15.795918367346939
45,8,722,24,14.73469387755102
46,8,780,24,15.918367346938776
47,8,680,23,13.877551020408163
48,8,810,31,16.53061224489796
49,8,695,24,14.183673469387756
50,9,1418,40,22.15625
51,9,1324,33,20.6875
52,9,1370,36,21.40625
53,9,1398,40,21.84375
54,9,1274,32,19.90625
55,9,1291,33,20.171875
56,9,1325,37,20.703125
57,9,1353,34,21.140625
58,9,1278,32,19.96875
59,9,1311,35,20.484375
