,graph_size,n_qubits,max_chain,mean_chain
0,4,27.0,4.0,3.0
1,4,25.0,4.0,2.7777777777777777
2,4,24.0,4.0,2.6666666666666665
3,4,25.0,4.0,2.7777777777777777
4,4,26.0,4.0,2.888888888888889
5,4,27.0,5.0,3.0
6,4,25.0,4.0,2.7777777777777777
7,4,24.0,4.0,2.6666666666666665
8,4,24.0,4.0,2.6666666666666665
9,4,24.0,4.0,2.6666666666666665
10,5,78.0,7.0,4.875
11,5,69.0,6.0,4.3125
12,5,80.0,7.0,5.0
13,5,76.0,7.0,4.75
14,5,77.0,7.0,4.8125
15,5,82.0,7.0,5.125
16,5,81.0,7.0,5.0625
17,5,76.0,6.0,4.75
18,5,85.0,7.0,5.3125
19,5,70.0,6.0,4.375
20,6,187.0,11.0,7.48
21,6,170.0,9.0,6.8
22,6,185.0,11.0,7.4
23,6,186.0,11.0,7.44
24,6,187.0,11.0,7.48
25,6,195.0,12.0,7.8
26,6,188.0,12.0,7.52
27,6,180.0,10.0,7.2
28,6,207.0,13.0,8.28
29,6,171.0,11.0,6.84
30,7,381.0,15.0,10.583333333333334
31,7,415.0,17.0,11.527777777777779
32,7,354.0,14.0,9.833333333333334
33,7,395.0,16.0,10.972222222222221
34,7,416.0,17.0,11.555555555555555
35,7,414.0,17.0,11.5
36,7,424.0,19.0,11.777777777777779
37,7,387.0,15.0,10.75
38,7,379.0,17.0,10.527777777777779
39,7,394.0,18.0,10.944444444444445
40,8,754.0,22.0,15.387755102040817
41,8,733.0,22.0,14.959183673469388
42,8,791.0,27.0,16.142857142857142
43,8,795.0,25.0,16.224489795918366
44,8,762.0,25.0,15.551020408163266
45,8,760.0,22.0,15.510204081632653
46,8,828.0,28.0,16.897959183673468
47,8,708.0,24.0,14.448979591836734
48,8,720.0,28.0,14.693877551020408
49,8,736.0,24.0,15.020408163265307
50,9,1385.0,37.0,21.640625
51,9,1377.0,37.0,21.515625
52,9,1426.0,37.0,22.28125
53,9,1420.0,35.0,22.1875
54,9,1499.0,39.0,23.421875
55,9,1190.0,27.0,18.59375
56,9,1403.0,32.0,21.921875
57,9,1499.0,47.0,23.421875
58,9,1310.0,32.0,20.46875
59,9,1229.0,32.0,19.203125
60,10,,,
61,10,,,
62,10,,,
63,10,1753.0,36.0,21.641975308641975
64,10,,,
65,10,1753.0,37.0,21.641975308641975
66,10,,,
67,10,,,
68,10,,,
69,10,,,
