,graph_size,n_qubits,max_chain,mean_chain
0,4,14,2,1.5555555555555556
1,4,14,2,1.5555555555555556
2,4,13,2,1.4444444444444444
3,4,13,2,1.4444444444444444
4,4,14,2,1.5555555555555556
5,4,14,2,1.5555555555555556
6,4,19,3,2.111111111111111
7,4,12,2,1.3333333333333333
8,4,13,2,1.4444444444444444
9,4,14,2,1.5555555555555556
10,5,37,3,2.3125
11,5,39,4,2.4375
12,5,38,3,2.375
13,5,39,4,2.4375
14,5,36,3,2.25
15,5,36,3,2.25
16,5,38,4,2.375
17,5,39,4,2.4375
18,5,36,3,2.25
19,5,38,3,2.375
20,6,79,5,3.16
21,6,88,5,3.52
22,6,83,5,3.32
23,6,78,4,3.12
24,6,84,5,3.36
25,6,82,5,3.28
26,6,82,4,3.28
27,6,89,5,3.56
28,6,93,5,3.72
29,6,86,5,3.44
30,7,153,6,4.25
31,7,168,7,4.666666666666667
32,7,168,7,4.666666666666667
33,7,171,7,4.75
34,7,188,9,5.222222222222222
35,7,151,6,4.194444444444445
36,7,170,7,4.722222222222222
37,7,169,8,4.694444444444445
38,7,152,6,4.222222222222222
39,7,162,7,4.5
40,8,282,8,5.755102040816326
41,8,334,11,6.816326530612245
42,8,296,9,6.040816326530612
43,8,294,11,6.0
44,8,294,11,6.0
45,8,284,9,5.795918367346939
46,8,282,8,5.755102040816326
47,8,321,12,6.551020408163265
48,8,299,9,6.1020408163265305
49,8,308,12,6.285714285714286
50,9,586,17,9.15625
51,9,493,12,7.703125
52,9,535,13,8.359375
53,9,526,13,8.21875
54,9,549,14,8.578125
55,9,553,15,8.640625
56,9,513,13,8.015625
57,9,502,12,7.84375
58,9,537,14,8.390625
59,9,540,14,8.4375
60,10,763,14,9.419753086419753
61,10,859,19,10.604938271604938
62,10,803,16,9.91358024691358
63,10,860,19,10.617283950617283
64,10,830,16,10.246913580246913
65,10,869,18,10.728395061728396
66,10,972,22,12.0
67,10,798,16,9.851851851851851
68,10,860,19,10.617283950617283
69,10,918,19,11.333333333333334
70,11,1500,27,15.0
71,11,1104,17,11.04
72,11,1415,23,14.15
73,11,1329,23,13.29
74,11,1108,19,11.08
75,11,1367,25,13.67
76,11,1430,24,14.3
77,11,1497,25,14.97
78,11,1205,20,12.05
79,11,1390,26,13.9
80,12,2133,35,17.628099173553718
81,12,2065,27,17.06611570247934
82,12,1931,27,15.958677685950413
83,12,2109,32,17.429752066115704
84,12,2421,38,20.00826446280992
85,12,1953,29,16.140495867768596
86,12,2103,31,17.380165289256198
87,12,2170,34,17.93388429752066
88,12,2043,30,16.884297520661157
89,12,2129,33,17.59504132231405
90,13,3374,42,23.430555555555557
91,13,2653,38,18.42361111111111
92,13,3101,40,21.53472222222222
93,13,2871,36,19.9375
94,13,3244,41,22.52777777777778
95,13,3226,46,22.40277777777778
96,13,3347,42,23.243055555555557
97,13,3235,43,22.46527777777778
98,13,3111,38,21.604166666666668
99,13,3377,42,23.45138888888889
100,14,3898,42,23.06508875739645
101,14,3985,44,23.579881656804734
102,14,3882,43,22.97041420118343
103,14,4203,53,24.869822485207102
104,14,4126,52,24.414201183431953
105,14,4198,43,24.840236686390533
106,14,4055,47,23.994082840236686
107,14,4103,51,24.27810650887574
108,14,4208,45,24.899408284023668
109,14,4152,50,24.568047337278106
