steps,tol,valid_prob,almost_valid_prob,time,best_valid,best_almost_valid
1,0.0001,1275,2990,19.311832666397095,True,False
3,0.001,3361,922,356.1945550441742,True,False
2,0.001,2670,1465,52.27479290962219,False,False
3,0.0001,3592,774,171.47170281410217,True,False
1,0.0001,601,3270,22.128042936325073,True,False
2,0.0001,2785,1409,90.7743661403656,False,False
2,0.0001,2221,1875,121.93724083900452,False,False
3,0.0001,3437,897,414.7806043624878,True,False
3,0.0001,3322,959,158.25662803649902,True,False
3,0.01,3332,953,124.76178622245789,True,False
2,0.001,2723,1428,79.0841372013092,True,False
1,0.01,644,3198,9.376448154449463,False,False
1,0.01,1260,2939,15.789067029953003,True,False
2,0.001,2726,1390,64.0919029712677,False,False
3,0.001,3583,769,141.7776050567627,True,False
3,0.01,3341,913,101.0541889667511,False,False
1,0.001,616,3249,11.552649021148682,True,False
1,0.001,1219,3028,14.689727067947388,True,False
1,0.001,650,3301,13.540590047836304,False,False
1,0.01,1213,3023,12.063723087310791,False,False
1,0.01,1232,2990,10.061209917068481,False,False
1,0.0001,639,3179,22.785396814346313,False,False
1,0.001,1229,2908,21.62203598022461,True,False
3,0.0001,3604,680,252.94582605361938,True,False
2,0.0001,2793,1400,70.50564408302307,True,False
1,0.01,1297,2936,14.551045894622803,True,False
2,0.0001,2218,1911,163.98711895942688,False,True
3,0.01,1599,2279,54.18168592453003,True,False
2,0.0001,2601,1497,105.35827088356018,False,False
2,0.001,2263,1853,54.28457593917847,True,False
2,0.0001,2822,1430,93.58215808868408,True,False
1,0.001,1266,2970,20.76541018486023,False,False
1,0.01,1275,2969,10.455058097839355,True,False
1,0.01,603,3243,9.941606998443604,False,True
2,0.01,593,3270,28.298504114151,False,False
1,0.01,637,3200,11.29441785812378,True,False
3,0.001,3249,963,181.745187997818,False,False
3,0.001,3652,669,476.83281207084656,False,False
3,0.001,3333,959,114.43950414657593,False,False
3,0.0001,3337,947,333.5720920562744,True,False
1,0.001,1273,2944,12.113664627075195,False,False
3,0.001,2796,1449,166.15660691261292,False,False
1,0.01,604,3280,12.593902826309204,False,False
3,0.01,3083,1120,82.35396099090576,False,False
2,0.0001,2341,1815,67.57185983657837,True,False
2,0.01,2246,1847,27.151986837387085,True,False
1,0.001,1289,2931,15.579691886901855,False,False
3,0.001,3486,783,283.56713581085205,False,False
1,0.0001,590,3285,26.23996901512146,False,False
3,0.01,3154,1115,84.13262295722961,False,False
1,0.0001,1224,2976,30.885430097579956,True,False
2,0.001,2739,1490,77.70428800582886,True,False
1,0.001,627,3291,18.202187061309814,False,False
3,0.001,2849,1318,183.14900183677673,True,False
3,0.0001,3271,999,103.81798481941223,True,False
3,0.001,3591,755,307.46712613105774,False,False
2,0.01,2795,1426,36.10921621322632,False,False
3,0.001,3354,912,140.02196097373962,False,False
1,0.0001,1270,2968,15.021336078643799,True,False
2,0.01,2634,1471,40.45845890045166,False,False
1,0.001,565,3297,15.125343799591064,True,False
1,0.01,1263,2985,10.30132794380188,True,False
3,0.001,3308,932,197.40862894058228,False,False
1,0.01,1250,3001,12.816681861877441,False,False
2,0.0001,2241,1787,106.4050350189209,False,False
3,0.01,3096,1228,97.62597608566284,True,False
1,0.001,1218,2954,15.411098957061768,True,False
3,0.001,3376,920,263.33469581604004,False,False
2,0.001,2770,1481,52.62731981277466,False,True
1,0.0001,1204,2944,23.6076762676239,False,False
1,0.001,1189,3006,18.97840404510498,False,False
3,0.01,2139,2114,148.90954089164734,False,False
3,0.01,3334,953,122.59814310073853,False,False
1,0.01,1278,2926,8.39913296699524,False,False
1,0.001,1217,2961,18.34941291809082,False,False
2,0.0001,2660,1435,122.98223733901978,True,False
2,0.0001,2679,1523,86.1404218673706,True,False
2,0.001,2577,1492,88.02518200874329,False,False
2,0.001,527,3548,36.715487003326416,False,True
3,0.01,2909,1267,31.77086901664734,True,False
3,0.01,2512,1685,83.26291298866272,True,False
2,0.001,2185,1906,72.12194514274597,False,True
2,0.001,586,3600,43.42882418632507,False,True
3,0.0001,1972,2201,172.1985902786255,False,False
1,0.001,635,3248,13.052183151245117,True,False
2,0.001,2691,1515,48.64228892326355,True,False
3,0.001,3274,963,180.74874019622803,False,False
3,0.0001,3212,977,161.71256113052368,False,False
3,0.001,2688,1543,192.74400424957275,True,False
3,0.0001,3275,977,343.14104199409485,False,False
2,0.0001,2753,1451,86.84307813644409,True,False
2,0.01,2168,1899,51.029496908187866,False,False
3,0.01,3291,950,52.89248299598694,False,False
1,0.001,1230,2913,15.470174789428711,True,False
3,0.01,3230,995,107.18654203414917,False,False
1,0.01,1166,2954,11.243608236312866,False,False
3,0.01,2184,1836,38.97631478309631,False,False
3,0.001,3412,860,167.716952085495,False,False
2,0.0001,2248,1812,57.493430852890015,False,False
