steps,tol,valid_prob,almost_valid_prob,time,best_valid,best_almost_valid
3,0.001,5192,592,261.45051193237305,True,False
3,0.001,1248,2680,584.6736888885498,False,True
3,0.001,4978,476,320.7697899341583,True,False
3,0.001,6627,190,163.75766706466675,True,False
3,0.001,250,1566,126.90246891975403,False,True
3,0.001,5666,597,140.0896770954132,True,False
3,0.001,733,2965,163.01442790031433,False,True
3,0.001,4695,405,264.5409710407257,True,False
3,0.001,1331,2951,224.82398581504822,False,True
3,0.001,2567,2613,153.16916489601135,True,False
3,0.001,2934,1233,527.6252279281616,True,False
3,0.001,3009,1485,187.31307792663574,True,False
3,0.001,5224,899,561.3774728775024,True,False
3,0.001,2039,2844,358.55235505104065,True,False
3,0.001,4597,533,286.13146209716797,True,False
3,0.001,5967,652,534.6533849239349,True,False
3,0.001,6794,576,145.13090920448303,True,False
3,0.001,4244,1454,341.72192788124084,True,False
3,0.001,2048,1973,138.36682200431824,True,False
3,0.001,1100,2336,384.4974527359009,False,True
3,0.001,4518,881,251.28406596183777,True,False
3,0.001,6748,722,402.5333740711212,True,False
3,0.001,1972,2960,409.9865520000458,False,False
3,0.001,4276,443,494.23348474502563,True,False
3,0.001,2219,2192,315.1651759147644,False,True
3,0.001,1862,1163,178.56913709640503,False,True
3,0.001,1726,1972,142.5380139350891,True,False
3,0.001,4601,1032,383.90508008003235,True,False
3,0.001,1850,922,172.62841987609863,True,False
