steps,tol,time,valid_prob,best_valid,optimal_cost,forest_cost,best_sol_prob
3,0.001,272.07883310317993,400,False,14.0,42.0,316
1,0.001,50.782301902770996,163,False,14.0,14.0,160
1,0.01,45.0352840423584,451,False,14.0,28.0,121
2,0.0001,300.52646017074585,197,False,14.0,14.0,166
2,0.001,145.07876086235046,519,False,14.0,28.0,242
2,0.01,123.86886286735535,351,False,14.0,14.0,540
1,0.0001,46.16325497627258,850,True,14.0,14.0,528
1,0.01,39.2736279964447,380,True,14.0,14.0,216
1,0.001,46.90205788612366,904,True,14.0,14.0,669
3,0.001,158.7072560787201,305,False,14.0,21.0,163
2,0.01,71.9182300567627,1564,True,14.0,14.0,446
1,0.0001,141.4819369316101,866,True,14.0,14.0,576
2,0.001,66.17916917800903,659,True,14.0,14.0,440
3,0.001,176.54018688201904,323,True,14.0,14.0,192
2,0.01,63.264960050582886,887,True,14.0,21.0,250
1,0.0001,74.95215725898743,192,False,14.0,21.0,103
3,0.001,469.32233905792236,1067,True,14.0,21.0,321
1,0.001,37.99182605743408,195,False,14.0,14.0,89
3,0.01,220.22825813293457,1871,True,14.0,14.0,602
1,0.0001,89.1571409702301,1020,True,14.0,14.0,220
3,0.001,458.84037590026855,1882,True,14.0,21.0,361
1,0.01,34.128417015075684,160,False,14.0,70.0,110
3,0.001,321.34965991973877,1343,False,14.0,70.0,448
1,0.01,32.10990381240845,941,True,14.0,14.0,677
3,0.001,442.90061593055725,496,True,14.0,14.0,227
3,0.001,311.4233818054199,1432,True,14.0,14.0,1275
3,0.001,150.63250589370728,337,False,14.0,14.0,196
3,0.0001,643.8213441371918,1988,True,14.0,14.0,663
1,0.01,35.206926107406616,1276,False,14.0,70.0,331
3,0.01,272.109827041626,3700,True,14.0,14.0,3697
2,0.001,140.6430811882019,1842,True,14.0,14.0,334
2,0.001,123.49989914894104,296,True,14.0,14.0,172
3,0.0001,479.7989430427551,3045,True,14.0,14.0,3019
2,0.01,168.98429799079895,488,False,14.0,42.0,257
3,0.01,246.08760404586792,4649,True,14.0,14.0,4643
3,0.01,142.02768111228943,381,False,14.0,42.0,289
1,0.01,40.35027575492859,495,True,14.0,14.0,269
3,0.01,129.6776304244995,71,False,14.0,14.0,323
