case,initial_state,steps,tol,time,optimal_cost,forest_cost,best_sol_prob
8,all,2,0.001,773.6588778495789,13.283190505412346,13.283190505412346,6794
3,all,2,0.001,249.95458102226257,33.68066068690686,33.68066068690686,4425
7,"[2, 0, 1]",2,0.001,132.83475875854492,41.540535630410574,41.62698246742079,9968
8,"[2, 0, 1]",2,0.001,126.16329979896545,7.438111102029453,7.438111102029453,10000
6,"[2, 0, 1]",2,0.001,180.10415887832642,1.1715916253205503,1.1715916253205503,10000
3,"[2, 1, 0]",2,0.001,96.60322117805481,33.63546808979235,36.999014898771584,8753
7,"[2, 1, 0]",2,0.001,112.67871117591858,27.921446129007055,27.921446129007055,10000
5,all,2,0.001,144.2831370830536,9.921407854501123,9.921407854501123,1755
7,"[2, 0, 1]",2,0.001,117.0849347114563,66.72389317068159,66.72389317068159,10000
2,"[2, 1, 0]",2,0.001,137.1439929008484,6.217601109907756,6.217601109907756,10000
6,"[2, 0, 1]",2,0.001,124.00338292121887,19.961222630424267,19.961222630424267,10000
1,all,2,0.001,374.44263100624084,40.31224199883901,40.31224199883901,5042
2,all,2,0.001,350.55115008354187,36.061452514122514,36.061452514122514,5034
7,"[2, 0, 1]",2,0.001,127.43871712684631,31.304721063605832,31.304721063605832,10000
6,"[2, 1, 0]",2,0.001,102.46092700958252,37.05173001281198,37.05173001281198,3281
2,all,2,0.001,250.92527794837952,36.17843747389804,36.17843747389804,4947
8,all,2,0.001,773.6588778495789,13.283190505412346,13.283190505412346,6794
3,all,2,0.001,249.95458102226257,33.68066068690686,33.68066068690686,4425
7,"[2, 0, 1]",2,0.001,132.83475875854492,41.540535630410574,41.62698246742079,9968
8,"[2, 0, 1]",2,0.001,126.16329979896545,7.438111102029453,7.438111102029453,10000
6,"[2, 0, 1]",2,0.001,180.10415887832642,1.1715916253205503,1.1715916253205503,10000
3,"[2, 1, 0]",2,0.001,96.60322117805481,33.63546808979235,36.999014898771584,8753
7,"[2, 1, 0]",2,0.001,112.67871117591858,27.921446129007055,27.921446129007055,10000
5,all,2,0.001,144.2831370830536,9.921407854501123,9.921407854501123,1755
7,"[2, 0, 1]",2,0.001,117.0849347114563,66.72389317068159,66.72389317068159,10000
2,"[2, 1, 0]",2,0.001,137.1439929008484,6.217601109907756,6.217601109907756,10000
6,"[2, 0, 1]",2,0.001,124.00338292121887,19.961222630424267,19.961222630424267,10000
1,all,2,0.001,374.44263100624084,40.31224199883901,40.31224199883901,5042
2,all,2,0.001,350.55115008354187,36.061452514122514,36.061452514122514,5034
7,"[2, 0, 1]",2,0.001,127.43871712684631,31.304721063605832,31.304721063605832,10000
6,"[2, 1, 0]",2,0.001,102.46092700958252,37.05173001281198,37.05173001281198,3281
2,all,2,0.001,250.92527794837952,36.17843747389804,36.17843747389804,4947
0,"[2, 1, 0]",2,0.001,161.37037682533264,65.05554685472438,65.05554685472438,10000
7,"[2, 1, 0]",2,0.001,179.22332859039307,14.878870603472265,14.909833885058188,9993
0,"[2, 0, 1]",2,0.001,134.88161087036133,94.26529839612104,94.26529839612104,10000
0,"[2, 1, 0]",2,0.001,157.53438210487366,44.346258642643164,44.346258642643164,10000
6,"[2, 0, 1]",2,0.001,144.06467080116272,31.521382252422903,31.521382252422903,10000
0,"[2, 1, 0]",2,0.001,133.8736560344696,28.73708486353216,28.73708486353216,10000
7,"[2, 0, 1]",2,0.001,122.02980899810791,43.05984373849231,43.14945229160451,9958
3,"[2, 1, 0]",2,0.001,133.3177547454834,8.516279413392935,9.367907354732228,8819
7,all,2,0.001,414.74267506599426,52.508031587739936,52.61730204320007,3865
5,"[2, 1, 0]",2,0.001,132.88616394996643,9.448592772001188,9.448592772001188,9542
8,"[2, 0, 1]",2,0.001,143.9791977405548,15.416880725172442,15.416880725172442,10000
6,"[2, 0, 1]",2,0.001,147.78453516960144,46.41631046465375,46.41631046465375,9999
2,"[2, 1, 0]",2,0.001,119.68858289718628,0.4239993912466211,0.4239993912466211,9998
7,all,2,0.001,484.9097590446472,19.02705122054487,19.066646964092367,5794
1,all,2,0.001,530.8161063194275,5.180845704904902,5.180845704904902,4900
3,"[2, 0, 1]",2,0.001,129.0239281654358,24.870986376715443,24.870986376715443,10000
3,"[2, 1, 0]",2,0.001,124.45226097106934,5.554298078347264,5.554298078347264,10000
5,"[2, 0, 1]",2,0.001,85.44861102104187,8.223271360716549,8.223271360716549,9242
3,"[2, 0, 1]",2,0.001,111.0809817314148,15.206275469867611,15.206275469867611,9999
2,"[2, 0, 1]",2,0.001,253.1319751739502,56.835906602086936,56.835906602086936,10000
3,all,2,0.001,351.91676592826843,6.5167735513963,7.16845090653593,5343
4,"[2, 0, 1]",2,0.001,131.42307305335999,32.604681179278714,32.604681179278714,10000
7,all,2,0.001,208.69093298912048,1.122065782446553,1.12440082787478,2788
5,all,2,0.001,185.10091185569763,5.570362795921484,5.570362795921484,1694
7,"[2, 1, 0]",2,0.001,190.0513379573822,56.489817896330585,56.489817896330585,10000
2,all,2,0.001,342.3668701648712,39.42207489859584,39.42207489859584,5083
4,"[2, 0, 1]",2,0.001,115.06895732879639,41.52373357014717,41.52373357014717,10000
8,"[2, 1, 0]",2,0.001,110.15420174598694,10.314026957804783,10.314026957804783,10000
4,"[2, 0, 1]",2,0.001,137.55358386039734,35.63466426357183,35.63466426357183,10000
8,"[2, 1, 0]",2,0.001,147.03269624710083,10.578787507460355,10.578787507460355,10000
3,all,2,0.001,369.8051588535309,6.423233626471426,6.423233626471426,4621
1,all,2,0.001,199.24619698524475,19.00969894486415,19.00969894486415,5021
0,"[2, 1, 0]",2,0.001,137.8888020515442,55.56036625525168,55.56036625525168,10000
6,all,2,0.001,233.27554488182068,33.84386961951731,33.84386961951731,5093
0,all,2,0.001,366.9136519432068,26.876211217479593,26.876211217479593,5012
0,all,2,0.001,718.3255620002747,0.5479403329414878,0.5479403329414878,4981
8,"[2, 0, 1]",2,0.001,251.0096549987793,7.58646625622962,7.58646625622962,5894
3,all,2,0.001,287.07834124565125,44.74935205998313,44.74935205998313,5823
4,"[2, 0, 1]",2,0.001,117.7426221370697,9.6680137510044,9.6680137510044,10000
6,"[2, 0, 1]",2,0.001,128.743656873703,48.56760062048187,48.56760062048187,10000
4,"[2, 1, 0]",2,0.001,161.95595526695251,11.752848003885907,11.752848003885907,10000
0,all,2,0.001,377.7384479045868,9.546537015658608,9.546537015658608,5035
5,all,2,0.001,116.71527123451233,0.23029131729042884,0.23029131729042884,1699
6,all,2,0.001,474.2853412628174,15.763898440976302,15.763898440976302,5039
3,all,2,0.001,330.431232213974,41.928555950489596,41.928555950489596,3956
0,"[2, 0, 1]",2,0.001,127.38644909858704,55.13800733086613,55.13800733086613,10000
4,all,2,0.001,927.823410987854,0.42467223751321836,0.42467223751321836,4631
1,"[2, 0, 1]",2,0.001,153.0127341747284,84.99867064346896,84.99867064346896,10000
4,all,2,0.001,308.03057885169983,34.55469769683973,34.55469769683973,4376
4,"[2, 0, 1]",2,0.001,162.04877495765686,11.309474417609156,12.44042185937007,5539
1,"[2, 1, 0]",2,0.001,126.41173720359802,43.634112435252035,43.634112435252035,10000
1,"[2, 1, 0]",2,0.001,134.25376915931702,85.67891983704897,85.67891983704897,10000
8,"[2, 0, 1]",2,0.001,122.13928079605103,7.15028406399076,7.922488260849211,3677
1,"[2, 0, 1]",2,0.001,147.64777302742004,17.03933412165997,17.03933412165997,10000
4,"[2, 0, 1]",2,0.001,104.0406060218811,2.996499899537125,2.996499899537125,9999
